일시,최저기온(°C),최고기온(°C),강수량,최대 풍속(m/s),최다풍향,평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),평균가격(원)
2020-09-19,12.0,22.9,0.7,4.7,320.0,13.5,84.9,991.1,44591.62869344053
2020-09-21,7.8,22.4,0.592307692,2.8,320.0,10.3,76.8,994.4,42921.78585685194
2020-09-22,11.0,22.6,0.538461538,2.9,320.0,11.4,78.1,995.0,47742.46305514545
2020-09-23,9.6,22.5,0.484615385,3.7,320.0,11.6,79.4,993.9,47668.88290083045
2020-09-24,12.1,23.3,0.430769231,3.0,320.0,12.4,76.1,990.9,47973.44707826903
2020-09-25,12.0,24.3,0.376923077,4.4,20.0,12.1,74.9,988.6,47245.46376140067
2020-09-26,11.0,23.8,0.323076923,4.2,20.0,12.0,77.0,991.8,43318.81864870753
2020-09-27,10.3,23.7,0.269230769,2.8,320.0,11.8,80.6,994.6,48166.66666666666
2020-09-28,8.1,23.5,0.215384615,2.9,320.0,11.1,81.4,993.1,42685.6579696755
2020-09-29,8.6,23.9,0.161538462,3.1,320.0,11.7,79.5,987.4,43793.64111655706
2020-09-30,10.8,23.2,0.107692308,2.5,320.0,12.1,78.0,986.9,53765.91680814941
2020-10-05,7.5,17.3,0.0857142857,6.9,290.0,3.8,57.4,992.3,48381.1279954671
2020-10-06,3.7,19.9,0.0714285714,4.9,320.0,5.1,70.3,997.0,56635.46528005056
2020-10-07,8.1,21.1,0.0571428571,4.3,320.0,8.9,75.0,1001.5,55707.82086771676
2020-10-08,7.0,21.1,0.0428571429,5.1,340.0,6.3,68.9,1002.6,56023.71765254602
2020-10-09,7.3,21.6,0.0285714286,4.8,340.0,7.9,71.9,999.3,52274.80676977321
2020-10-10,6.2,21.3,0.0142857143,3.0,320.0,9.1,75.8,995.4,49372.08367557114
2020-10-12,10.2,21.4,0.0,5.9,290.0,10.8,79.6,990.2,43120.51871680035
2020-10-13,6.8,18.2,0.0,6.1,290.0,6.2,70.4,995.2,43844.60730852108
2020-10-14,5.3,17.7,0.0,5.9,320.0,5.4,72.4,999.3,39215.88960291965
2020-10-15,3.2,18.8,0.0,4.4,140.0,2.0,60.1,1000.1,43674.94707090473
2020-10-16,3.4,16.4,0.0,2.2,140.0,5.9,77.0,998.6,37908.33167563433
2020-10-17,4.2,19.0,0.0,5.9,290.0,4.9,72.5,997.9,40864.17623669223
2020-10-19,2.5,20.7,0.0,3.6,140.0,5.0,73.1,1000.1,38780.62834655404
2020-10-20,3.3,21.3,0.0,3.0,290.0,5.2,74.1,1001.5,41481.16346611513
2020-10-21,5.1,16.1,0.0,2.9,320.0,8.1,87.4,995.4,38764.67903657285
2020-10-22,4.7,18.0,0.181818182,7.8,320.0,6.9,79.0,988.5,39101.78580651044
2020-10-23,6.2,13.5,0.363636364,6.8,290.0,-1.2,49.8,988.3,42046.16246692723
2020-10-24,4.5,12.6,0.545454545,8.0,290.0,-3.7,42.4,991.7,40568.43998042325
2020-10-26,0.6,19.3,0.909090909,4.8,320.0,3.3,67.3,994.8,43936.09109376549
2020-10-27,2.1,19.7,1.090909091,4.5,290.0,5.4,71.9,995.9,41782.00519542631
2020-10-28,9.1,19.3,1.272727273,6.2,290.0,4.4,52.4,996.5,42394.51123943951
2020-10-29,0.1,17.2,1.454545455,3.5,320.0,-0.3,56.9,998.3,41272.01335735832
2020-10-30,0.5,18.5,1.636363636,3.1,320.0,2.8,69.8,1000.8,43505.80741461115
2020-10-31,0.8,16.3,1.818181818,3.3,320.0,5.1,80.8,1000.6,39088.73571580171
2020-11-02,0.7,16.0,1.15,5.4,290.0,1.7,67.6,994.7,41252.10333180455
2020-11-03,0.6,8.2,0.3,12.4,290.0,-6.4,44.0,994.0,37334.22404293474
2020-11-04,-1.1,9.3,0.342857143,8.0,290.0,-10.5,37.6,998.7,46367.72326096035
2020-11-05,-4.4,14.9,0.385714286,3.0,140.0,-2.3,58.1,1001.9,38806.07052995686
2020-11-06,6.2,14.7,0.428571429,2.6,320.0,3.2,65.5,997.2,43377.78141489238
2020-11-07,4.6,19.4,0.471428571,8.0,290.0,3.6,60.4,992.7,41353.36613499495
2020-11-09,1.5,10.0,0.557142857,7.1,290.0,-7.6,38.1,999.0,39855.9596763087
2020-11-10,1.8,12.3,0.6,5.9,290.0,-4.2,46.3,1002.1,32351.27954644209
2020-11-11,-2.8,15.0,0.642857143,3.2,320.0,-3.3,61.3,1006.8,34494.68740599614
2020-11-12,-3.4,17.7,0.685714286,3.1,140.0,-2.3,60.3,1005.0,31946.53395635524
2020-11-13,-0.6,17.3,0.728571429,5.2,320.0,1.5,67.4,1003.1,40393.65609244377
2020-11-14,1.3,17.4,0.771428571,3.2,320.0,3.8,76.6,1005.2,30028.70878037453
2020-11-16,2.5,18.0,0.857142857,4.9,320.0,4.3,74.3,1001.7,34412.09539706284
2020-11-17,6.0,18.6,0.9,2.7,160.0,9.8,84.5,1000.7,34931.22154307362
2020-11-18,12.7,19.2,1.3,2.0,290.0,14.3,94.9,994.3,31526.73702312276
2020-11-19,9.7,19.9,32.0,9.2,290.0,12.5,87.4,984.0,40853.15882761329
2020-11-20,-0.4,10.0,22.53333333,8.6,290.0,1.0,76.4,991.9,37196.74038880948
2020-11-21,-2.6,10.4,13.06666667,2.7,320.0,0.9,78.9,999.3,27224.62565679556
2020-11-23,-1.4,6.8,3.704761905,7.9,290.0,-4.8,57.9,1000.6,38076.98895804041
2020-11-24,-2.1,9.0,3.80952381,6.1,140.0,-3.5,66.4,1001.9,38995.82559437655
2020-11-25,-3.0,9.6,3.914285714,6.3,290.0,-2.2,66.6,1000.8,35336.87467216263
2020-11-26,-0.4,12.3,4.019047619,4.8,160.0,0.2,73.4,1000.8,47000.83384626135
